ID,Language_ID,Headword,Part_Of_Speech,MiddleChinese,OCBS,Example_IDS
220,OldChinese,矣,,,,363 2240 3091 3627 4412 4418 4424
221,OldChinese,之,,,,365 875 1006 1705 1706 1717 1718 2045 3764 3766 3768 3981 6776 6875 6877
222,OldChinese,裏,,,,368 3808
223,OldChinese,已,,,,370 1449 1723 2073 2239 2958 3458 3866 4945 6399
224,OldChinese,裳,,,,372 978 1058 1424 1568 1670 2089 2157 2438 2592 3386
225,OldChinese,亡,,,,374 543 2013 2091 4701 5875 6492 6496 6500 6515
226,OldChinese,絲,,,,375 944 945 2375 2376 2668 5924
227,OldChinese,治,,,,376
228,OldChinese,訧,,,,378
229,OldChinese,風,,,,380 515 2128 3918 6003 6280
230,OldChinese,羽,,,,384 484 1915 2186 2338 2451 2556 3198 4455 6688
231,OldChinese,野,,,,386 1287 1955 2272 2452 2524 3200 3253 4165 4929 5036 5566 6890 6898 6906 6914 7036
232,OldChinese,及,,,,387 393 399 1168 2662 5113 6270
233,OldChinese,雨,,,,388 516 811 1628 2500 3559 3983 4171 4355
234,OldChinese,頏,,,,390
235,OldChinese,泣,,,,394 1166 1167
236,OldChinese,音,,,,396 480 488 1455 2055 2337 3304 4227 5150 5208 5620 7007
237,OldChinese,南,,,,398 467 2268 2270 3920 5617 6991
238,OldChinese,淵,,,,402 804 3127 3127 3264 4115 5131
239,OldChinese,身,,,,404 2103 2115 2127 3677 3914 6248
240,OldChinese,土,,,,408 1776 1777 2501 3707 4127 4163 6190 6334 6373 6415 7027
241,OldChinese,顧,,,,412 1195 1774 2245 2728 4183 6110
242,OldChinese,冒,,,,414
243,OldChinese,好,,,,416 1070 1074 1078 1245 1286 1333 1353 1365 1370 1543 1914 1946 1952 3026 3145 3175 3350 3963 3963 4387 5394 6010
244,OldChinese,報,,,,418 1069 1073 1077 1371 5898
245,OldChinese,良,,,,422 779 783 3599 4698 4844 5675
246,OldChinese,忘,,,,424 1383 2982 3245 4214 4817 5527 6763
247,OldChinese,出,,,,426 3689 4901
248,OldChinese,卒,,,,428 4031 4897
249,OldChinese,述,,,,430
250,OldChinese,暴,,,,431 988 3870
251,OldChinese,笑,,,,432 990 5741 6962
252,OldChinese,敖,,,,433 929 1131 1648 2625 3152 4468
253,OldChinese,悼,,,,434 992 2304
254,OldChinese,霾,,,,435
255,OldChinese,來,,,,436 437 494 961 1114 1366 1459 2806 2834 2900 2938 4046 4057 4503 5271 6443
256,OldChinese,曀,,,,439 440
257,OldChinese,寐,,,,441 1729 3818 5876
258,OldChinese,嚏,,,,442
259,OldChinese,靁,,,,444
260,OldChinese,鏜,,,,447
261,OldChinese,兵,,,,448 2159 5880
262,OldChinese,仲,,,,451
263,OldChinese,宋,,,,452
264,OldChinese,闊,,,,459 463
265,OldChinese,手,,,,461 1315 1351 2015 2037
266,OldChinese,老,,,,462 1363 3131 3800 6969
267,OldChinese,活,,,,464 937 937 6809
268,OldChinese,洵,,,,465
269,OldChinese,信,,,,466 816 1475 1977 3455 3673 3958
270,OldChinese,夭,,,,469
271,OldChinese,勞,,,,470 935 984 1790 2405 3212 3637 4003 4143 4785 4893 5141
272,OldChinese,薪,,,,472 1134 1471 1871 2548 4049 4052 4830
273,OldChinese,苦,,,,478 1982 4169
274,OldChinese,阻,,,,486 7252
275,OldChinese,臧,,,,498 798 1499 1547 1654 3603 4351 4509 6024 6896 7072
276,OldChinese,葉,,,,499 1025 7244
277,OldChinese,涉,,,,500
278,OldChinese,厲,,,,501 1060 3553 4755 5705 6453
279,OldChinese,揭,,,,502 940 940 4087 5844
280,OldChinese,鳴,,,,504 1524 1526 2610 3165 3770 5658 6694
281,OldChinese,軌,,,,505
282,OldChinese,牡,,,,506 1542 2018 2731 4327 6708 6931
283,OldChinese,鴈,,,,507 1359
284,OldChinese,旦,,,,508 999 999 1355 1965 5782
285,OldChinese,泮,,,,510 996
286,OldChinese,菲,,,,519
287,OldChinese,體,,,,520 826 5425
288,OldChinese,違,,,,521 524 3469 3717 7214
289,OldChinese,死,,,,522 829 1737
290,OldChinese,遲,,,,523 2204 2424 2635 2827 2827 2871 2871 4287 7018 7218
291,OldChinese,畿,,,,526
292,OldChinese,薺,,,,528
293,OldChinese,弟,,,,530 614 809 1192 1198 1204 1466 1472 1640 1734 2682 2986 2987 3234 4288 5125 5156 5427
294,OldChinese,笱,,,,536 3848
295,OldChinese,後,,,,538 2970 3505 3850 4703 5099 6507 6511 6715
296,OldChinese,游,,,,542 5621
297,OldChinese,喪,,,,545 5204 5829 6513
298,OldChinese,救,,,,546
299,OldChinese,讎,,,,548 3130 5897
300,OldChinese,售,,,,550
301,OldChinese,鞫,,,,551
302,OldChinese,覆,,,,552 4197
303,OldChinese,育,,,,553 4019 5359
304,OldChinese,毒,,,,554 6044
305,OldChinese,冬,,,,556
306,OldChinese,窮,,,,558
307,OldChinese,潰,,,,559
308,OldChinese,故,,,,565 1349 1910 2788 2790 6128
309,OldChinese,躬,,,,569 4985 6094 6545
310,OldChinese,節,,,,572
311,OldChinese,日,,,,574 787 1048 1228 1557 1840 1971 2882
312,OldChinese,久,,,,577 3088 4011
313,OldChinese,戎,,,,579 2694 2870 6407
314,OldChinese,耳,,,,586 5938 7053 7053
315,OldChinese,舞,,,,588 592 1295 2744 4539 4578 6928
316,OldChinese,俁,,,,591
317,OldChinese,虎,,,,593 1298 2119 2120 4928 6339 6371 6429
318,OldChinese,組,,,,594 838 1294
319,OldChinese,籥,,,,595
320,OldChinese,翟,,,,596 740
321,OldChinese,爵,,,,598 4577 5998
322,OldChinese,榛,,,,599 2385 4561
323,OldChinese,苓,,,,600 1974
324,OldChinese,淇,,,,606 947 1004
325,OldChinese,姬,,,,609
326,OldChinese,謀,,,,610 946 2670 3623 3740 3954 5062 5347 5955
327,OldChinese,泲,,,,611
328,OldChinese,禰,,,,612
329,OldChinese,姊,,,,616
330,OldChinese,干,,,,617 1745 3345
331,OldChinese,言,,,,618 905 958 960 1273 1401 1976 1980 1984 1988 1992 1996 2226 3845 3960 4555 5255 5255
332,OldChinese,舝,,,,619 4522
333,OldChinese,邁,,,,620 1806 2200 4729 4759 4837 4837 6955
334,OldChinese,衛,,,,621
335,OldChinese,害,,,,622 699 4027 4099 5364 5845 6543 7095
336,OldChinese,泉,,,,623 2390 2394 2398 3844 4048 5235 5562 5585
337,OldChinese,歎,,,,624 1154 1155 2690 4050 5555
338,OldChinese,漕,,,,625 851
339,OldChinese,悠,,,,626 850 3166 3166
340,OldChinese,門,,,,629 1476 3902 6329
341,OldChinese,殷,,,,630
342,OldChinese,貧,,,,631 976
343,OldChinese,艱,,,,632 1156 3900 5516
344,OldChinese,適,,,,636 7266
345,OldChinese,益,,,,637 5764
346,OldChinese,謫,,,,639
347,OldChinese,敦,,,,643
348,OldChinese,遺,,,,644 3993 6100 6102
349,OldChinese,摧,,,,646 4483 6104
350,OldChinese,涼,,,,650
351,OldChinese,雱,,,,651
352,OldChinese,邪,,,,654 660 666 6919
353,OldChinese,且,,,,655 661 667 1387 1485 1505 1517 3852 6736
354,OldChinese,霏,,,,657 2826 2826
355,OldChinese,狐,,,,662 4932
356,OldChinese,烏,,,,663
357,OldChinese,姝,,,,668
358,OldChinese,隅,,,,669 1878 4859 5850
359,OldChinese,躕,,,,671
360,OldChinese,孌,,,,672 1611 1661 2364
361,OldChinese,管,,,,673 5724
362,OldChinese,煒,,,,674
363,OldChinese,美,,,,675 678
364,OldChinese,荑,,,,676 922
365,OldChinese,異,,,,677 3344
366,OldChinese,貽,,,,679
367,OldChinese,泚,,,,680
